cohort,n,unconditional_nr,conditional_nr,recognition_rate,delta_cond_uncond,factor_cond_uncond
mid_tier_yc_company,25,0.1006237837837838,0.22764774286514997,0.4324324324324324,0.12702395908136616,2.2623651616431952
gpt5_system_card_author,80,0.041689864864864874,0.0943049534008948,0.4222972972972975,0.052615088536029926,2.2620594647303007
cpho_china_first_prize,50,0.18227297297297299,0.38271815172522106,0.4740540540540541,0.20044517875224807,2.099697752677626
long_tail_researcher_ikp,159,0.15787132415434288,0.28419864879085716,0.5334013258541563,0.12632732463651428,1.8001917087425603
deepseek_v3_author,69,0.17780571876224044,0.30375318819593733,0.5816686251468859,0.1259474694336969,1.7083431866559493
cmo_china_gold,131,0.30206890860325974,0.4847644891091063,0.6160511656694864,0.18269558050584656,1.6048142503331937
noi_china_gold,29,0.3675442684063373,0.5817551719691437,0.6290773532152841,0.21421090356280642,1.5828166073480605
msra_phd_fellowship,237,0.3425105485232066,0.4770963832156427,0.7119397878891547,0.13458583469243607,1.3929392401861085
imo_gold,197,0.36193524488955947,0.49571359137328086,0.7219097269858699,0.1337783464837214,1.3696195614343731
rhodes_scholar,36,0.3147672672672672,0.4303202432504657,0.7274774774774776,0.11555297598319847,1.3671060748673178
ioi_gold,68,0.34124006359300474,0.44685005713549103,0.7579491255961847,0.10560999354248629,1.309488846152739
long_tail_researcher_openalex,771,0.46388593262523287,0.58972354364499,0.7561257755810269,0.12583761101975716,1.2712684351250194
long_tail_paper,499,0.36793478849591066,0.467258297167971,0.7637978660022734,0.09932350867206036,1.2699486750847542
cs_faculty,698,0.41719104778130534,0.5174906038932451,0.7843645938201795,0.10029955611193975,1.2404163671424644
icpc_world_finals_gold,18,0.6104204204204203,0.7299348165839269,0.8378378378378378,0.11951439616350656,1.1957902982360786
mid_tier_architect,36,0.25486111111111115,0.3012937484282076,0.8243243243243243,0.04643263731709646,1.1821880047319315
mid_tier_activist,2,0.11094594594594595,0.1304032258064516,0.8513513513513513,0.01945727986050566,1.1753762131153982
putnam_fellow,35,0.6076061776061774,0.6887589778964123,0.8795366795366795,0.08115280029023486,1.1335615128370773
mid_tier_vc,31,0.40184306887532695,0.4481029532638358,0.8805579773321709,0.046259884388508865,1.1151192790707587
website_or_service,9,0.4373573573573574,0.47859665517622535,0.9039039039039038,0.041239297818867926,1.094291995150254
reference_pilot,37,0.45208181154127103,0.4875094617040266,0.8531775018261505,0.035427650162755564,1.0783655729080828
foundation_model,107,0.5176155594847185,0.5571511744097581,0.9045213437736805,0.03953561492503965,1.0763802675568659
mid_tier_athlete,134,0.47680233965308566,0.5043707461208256,0.8979427188382414,0.027568406467739892,1.0578193607183184
mid_tier_gov_ai_policy,42,0.803070785070785,0.8469053376664037,0.9433719433719435,0.04383455259561875,1.0545836723368727
mid_tier_oss_maintainer,51,0.524893481717011,0.5508815807682188,0.9459459459459459,0.025988099051207803,1.049511186471961
mid_tier_actor,123,0.535950999780268,0.5621979400047716,0.9200175785541647,0.02624694022450369,1.0489726490579634
ai_startup_or_company,102,0.6383677795442501,0.6658160742657011,0.9462109167991519,0.02744829472145105,1.042997619242386
mid_tier_writer,194,0.5185964056840345,0.5397969673929692,0.9027584285316239,0.021200561708934695,1.0408806568587203
industry_product,9,0.5897297297297296,0.6128998918704799,0.9609609609609611,0.023170162140750294,1.0392894591754245
dataset,45,0.7254894894894895,0.7503285305231384,0.9669669669669672,0.024839041033648868,1.0342376304460696
benchmark,47,0.7466739505462908,0.7714097552011311,0.9574468085106385,0.024735804654840265,1.0331279866355894
research_paper,298,0.6253128967894066,0.6424911174097118,0.9657173952475954,0.017178220620305162,1.0274713998519855
ai_hardware,20,0.7299459459459456,0.7497740990990989,0.972972972972973,0.019828153153153227,1.0271638650276462
mid_tier_founder,48,0.5264313063063063,0.5405491450764888,0.956081081081081,0.014117838770182467,1.026818007593887
oss_project,184,0.5187193008225616,0.5319011304070095,0.9707696827262035,0.013181829584447913,1.025412259701046
mid_tier_medical,44,0.6030945945945945,0.6164797946238384,0.9735872235872236,0.013385200029243927,1.022194196647114
mid_tier_book,130,0.3629887733887735,0.3706149267600644,0.9711018711018711,0.007626153371290911,1.02100933673539
mid_tier_comedian,46,0.6319283196239718,0.6446456738358911,0.9817861339600469,0.01271735421191933,1.0201246784120812
mid_tier_podcast,57,0.42664532954006634,0.43419387559819805,0.9800853485064014,0.007548546058131711,1.0176927896205243
mid_tier_journalist,84,0.511765444015444,0.520798691579912,0.9819819819819823,0.009033247564467994,1.017651147943071
mid_tier_product,88,0.6031636977886976,0.6099144841667399,0.9883292383292382,0.006750786378042273,1.0111922955622028
mid_tier_chef,47,0.645326049453709,0.6516009675865745,0.9907993099482462,0.006274918132865515,1.0097236399153227
named_method,73,0.5570399851906701,0.5624366650051582,0.9892632358385787,0.005396679814488103,1.009688137221677
programming_language,29,0.7794594594594593,0.7856878060326336,0.9916123019571295,0.0062283465731742815,1.0079905971985939
award,15,0.7721891891891891,0.7777668256491784,0.990990990990991,0.005577636459989321,1.0072231475628997
mid_tier_politician,103,0.355514038310155,0.3578319443341932,0.9926528470217791,0.0023179060240381966,1.0065198720001487
mid_tier_musician,64,0.6922888513513511,0.6963113389781586,0.9940878378378379,0.004022487626807458,1.0058104180342577
mid_tier_religious,30,0.48560360360360366,0.48839694105870574,0.9936936936936936,0.002793337455102074,1.0057522996830606
mid_tier_online_course,40,0.43401621621621633,0.43585227370227375,0.9952702702702704,0.0018360574860574186,1.004230389136296
database_or_data_system,30,0.773018018018018,0.7759854854854853,0.9963963963963963,0.002967467467467344,1.0038388076322926
mid_tier_artist,45,0.7744696696696697,0.7755257257257255,0.9987987987987987,0.001056056056055854,1.0013635860736887
mid_tier_historical,105,0.6220396396396395,0.622861235261235,0.997940797940798,0.0008215956215955611,1.0013208091080361
conference,30,0.610162162162162,0.6107214714714713,0.9990990990990992,0.0005593093093092527,1.0009166568233718
mid_tier_filmmaker,38,0.785703413940256,0.785703413940256,1.0,0.0,1.0
