id,name,cohort,context_A,context_B
csrankings_christoforos_e__kozyrakis,Christoforos E. Kozyrakis,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_oluwasanmi_koyejo,Oluwasanmi Koyejo,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_ashish_goel,Ashish Goel,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_mendel_rosenblum,Mendel Rosenblum,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_oussama_khatib,Oussama Khatib,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_jiajun_wu_0001,Jiajun Wu 0001,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_balaji_prabhakar,Balaji Prabhakar,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_christopher_piech,Christopher Piech,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_kunle_olukotun,Kunle Olukotun,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_fredrik_kjolstad,Fredrik Kjolstad,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_stefano_ermon,Stefano Ermon,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_gordon_wetzstein,Gordon Wetzstein,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_mark_a__horowitz,Mark A. Horowitz,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_dan_boneh,Dan Boneh,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_li_fei_fei_0001,Li Fei-Fei 0001,cs_faculty,a computer science faculty member at Stanford University,a computer science researcher
csrankings_vincent_aleven,Vincent Aleven,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_srinivasan_seshan,Srinivasan Seshan,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_mahadev_satyanarayanan,Mahadev Satyanarayanan,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_jeremy_z__kolter,Jeremy Z. Kolter,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_joel_mcmanus,Joel McManus,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_min_xu_0009,Min Xu 0009,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_daphne_ippolito,Daphne Ippolito,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_david_lindlbauer,David Lindlbauer,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_christian_cuba_samaniego,Christian Cuba Samaniego,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_carolyn_penstein_ros,Carolyn Penstein Rosé,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_roy_maxion,Roy Maxion,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_tom_michael_mitchell,Tom Michael Mitchell,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_guy_e__blelloch,Guy E. Blelloch,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_jonathan_aldrich,Jonathan Aldrich,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_james_mccann,James McCann,cs_faculty,a computer science faculty member at Carnegie Mellon University,a computer science researcher
csrankings_mingxing_xu,Mingxing Xu,cs_faculty,a computer science faculty member at Tsinghua University,a computer science researcher
csrankings_yi_ming_li,Yi-Ming Li,cs_faculty,a computer science faculty member at Tsinghua University,a computer science researcher
csrankings_hongliang_yu,Hongliang Yu,cs_faculty,a computer science faculty member at Tsinghua University,a computer science researcher
csrankings_yong_li_0008,Yong Li 0008,cs_faculty,a computer science faculty member at Tsinghua University,a computer science researcher
csrankings_jin_xu_0002,Jin Xu 0002,cs_faculty,a computer science faculty member at Peking University,a computer science researcher
csrankings_liangming_pan,Liangming Pan,cs_faculty,a computer science faculty member at Peking University,a computer science researcher
csrankings_yuqing_kong,Yuqing Kong,cs_faculty,a computer science faculty member at Peking University,a computer science researcher
csrankings_shanghang_zhang,Shanghang Zhang,cs_faculty,a computer science faculty member at Peking University,a computer science researcher
oa_author_olivier_dauchot,Olivier Dauchot,long_tail_researcher_openalex,"an academic researcher in Micro and Nano Robotics at Centre National de la Recherche Scientifique, with approximately 7328 total citations and h-index 46",an academic researcher
oa_author_philip_koopman,Philip Koopman,long_tail_researcher_openalex,"an academic researcher in Autonomous Vehicle Technology and Safety at Carnegie Mellon University, with approximately 5152 total citations and h-index 33",an academic researcher
oa_author_s__m__ali_eslami,S. M. Ali Eslami,long_tail_researcher_openalex,"an academic researcher in Advanced Image and Video Retrieval Techniques at Microsoft Research (United Kingdom), with approximately 11587 total citations and h-index 28",an academic researcher
oa_author_p__k__gupta,P. K. Gupta,long_tail_researcher_openalex,"an academic researcher in COVID-19 diagnosis using AI at Jaypee University of Information Technology, with approximately 2988 total citations and h-index 20",an academic researcher
oa_author_rachel_harrison,Rachel Harrison,long_tail_researcher_openalex,"an academic researcher in Technology Adoption and User Behaviour at Oxford Brookes University, with approximately 3999 total citations and h-index 29",an academic researcher
oa_author_mamouna_diagne,Maïmouna Diagne,long_tail_researcher_openalex,"an academic researcher in Solar Radiation and Photovoltaics at Écologie Marine Tropicale des Océans Pacifique et Indien, with approximately 934 total citations and h-index 4",an academic researcher
oa_author_vladimir_g__kim,Vladimir G. Kim,long_tail_researcher_openalex,"an academic researcher in 3D Shape Modeling and Analysis at Adobe Systems (United States), with approximately 6965 total citations and h-index 33",an academic researcher
oa_author_fei_yan,Fei Yan,long_tail_researcher_openalex,"an academic researcher in Quantum Information and Cryptography at MIT Lincoln Laboratory, with approximately 9108 total citations and h-index 49",an academic researcher
oa_author_koutarou_matsumoto,Koutarou Matsumoto,long_tail_researcher_openalex,"an academic researcher in Explainable Artificial Intelligence (XAI) at Kurume University, with approximately 1185 total citations and h-index 8",an academic researcher
oa_author_tim_dettmers,Tim Dettmers,long_tail_researcher_openalex,"an academic researcher in Advanced Graph Neural Networks at Università della Svizzera italiana, with approximately 4602 total citations and h-index 14",an academic researcher
oa_author_maurice_b__loughrey,Maurice B. Loughrey,long_tail_researcher_openalex,"an academic researcher in Cell Image Analysis Techniques at Queen's University Belfast, with approximately 14351 total citations and h-index 40",an academic researcher
oa_author_marijn_a__m__versteegh,Marijn A. M. Versteegh,long_tail_researcher_openalex,"an academic researcher in Quantum Mechanics and Applications at Vienna Center for Quantum Science and Technology, with approximately 2747 total citations and h-index 15",an academic researcher
oa_author_anchi_guo,AnChi Guo,long_tail_researcher_openalex,"an academic researcher in Metabolomics and Mass Spectrometry Studies at University of Alberta, with approximately 2846 total citations and h-index 6",an academic researcher
oa_author_tushar_krishna,Tushar Krishna,long_tail_researcher_openalex,"an academic researcher in Advanced Neural Network Applications at Georgia Institute of Technology, with approximately 14256 total citations and h-index 40",an academic researcher
oa_author_christoph_stiller,Christoph Stiller,long_tail_researcher_openalex,"an academic researcher in Robotics and Sensor-Based Localization at Karlsruhe Institute of Technology, with approximately 23412 total citations and h-index 58",an academic researcher
oa_author_xue_yang,Xue Yang,long_tail_researcher_openalex,"an academic researcher in Advanced Image and Video Retrieval Techniques at Shanghai Jiao Tong University, with approximately 5975 total citations and h-index 29",an academic researcher
oa_author_lixing_han,Lixing Han,long_tail_researcher_openalex,"an academic researcher in Advanced Optimization Algorithms Research at University of Michigan–Flint, with approximately 1724 total citations and h-index 11",an academic researcher
oa_author_wim_vanhaverbeke,Wim Vanhaverbeke,long_tail_researcher_openalex,"an academic researcher in Open Source Software Innovations at Hasselt University, with approximately 15395 total citations and h-index 51",an academic researcher
oa_author_wei_peng,Wei Peng,long_tail_researcher_openalex,"an academic researcher in Network Security and Intrusion Detection at La Trobe University, with approximately 500 total citations and h-index 1",an academic researcher
oa_author_miguel_c__soriano,Miguel C. Soriano,long_tail_researcher_openalex,"an academic researcher in Neural Networks and Reservoir Computing at Universitat de les Illes Balears, with approximately 8882 total citations and h-index 37",an academic researcher
oa_author_carlijn_j__m__wibbelink,Carlijn J. M. Wibbelink,long_tail_researcher_openalex,"an academic researcher in Mental Health Research Topics at University of Amsterdam, with approximately 1384 total citations and h-index 8",an academic researcher
oa_author_daniil_stroyakovskiy,Daniil Stroyakovskiy,long_tail_researcher_openalex,"an academic researcher in Melanoma and MAPK Pathways at Moscow City Oncology Hospital №62, with approximately 23798 total citations and h-index 48",an academic researcher
oa_author_fumiya_yokomori,Fumiya Yokomori,long_tail_researcher_openalex,"an academic researcher in Speech Recognition and Synthesis at University of Yamanashi, with approximately 1127 total citations and h-index 1",an academic researcher
oa_author_jon_wade,Jon Wade,long_tail_researcher_openalex,"an academic researcher in Complex Systems and Decision Making at Stevens Institute of Technology, with approximately 1842 total citations and h-index 13",an academic researcher
oa_author_xavier_glorot,Xavier Glorot,long_tail_researcher_openalex,"an academic researcher in Neural Networks and Applications at Université de Montréal, with approximately 29656 total citations and h-index 18",an academic researcher
oa_author_nasrin_sultana,Nasrin Sultana,long_tail_researcher_openalex,"an academic researcher in Network Security and Intrusion Detection at La Trobe University, with approximately 711 total citations and h-index 10",an academic researcher
oa_author_jirui_yang,Jirui Yang,long_tail_researcher_openalex,"an academic researcher in Advanced Neural Network Applications at University of Chinese Academy of Sciences, with approximately 2034 total citations and h-index 9",an academic researcher
oa_author_jiwan_ge,Jiwan Ge,long_tail_researcher_openalex,"an academic researcher in SARS-CoV-2 and COVID-19 Research at Tsinghua University, with approximately 11443 total citations and h-index 17",an academic researcher
oa_author_henrik_lehrmann_christiansen,Henrik Lehrmann Christiansen,long_tail_researcher_openalex,"an academic researcher in Advanced MIMO Systems Optimization at Technical University of Denmark, with approximately 3056 total citations and h-index 18",an academic researcher
oa_author_yasunobu_nohara,Yasunobu Nohara,long_tail_researcher_openalex,"an academic researcher in Explainable Artificial Intelligence (XAI) at Kumamoto University, with approximately 1818 total citations and h-index 15",an academic researcher
oa_author_isabelle_lajoie,Isabelle Lajoie,long_tail_researcher_openalex,"an academic researcher in Image and Signal Denoising Methods, with approximately 5045 total citations and h-index 2",an academic researcher
oa_author_kenji_ozawa,Kenji Ozawa,long_tail_researcher_openalex,"an academic researcher in Speech Recognition and Synthesis at University of Yamanashi, with approximately 2123 total citations and h-index 12",an academic researcher
oa_author_johan_bollen,Johan Bollen,long_tail_researcher_openalex,"an academic researcher in Complex Systems and Time Series Analysis at Indiana University Bloomington, with approximately 13567 total citations and h-index 41",an academic researcher
oa_author_tlin_ztrk,Tülin Öztürk,long_tail_researcher_openalex,"an academic researcher in COVID-19 diagnosis using AI at Elazığ Eğitim ve Araştırma Hastanesi, with approximately 2754 total citations and h-index 5",an academic researcher
oa_author_joel_emer,Joel Emer,long_tail_researcher_openalex,"an academic researcher in Advanced Neural Network Applications at Nvidia (United States), with approximately 25938 total citations and h-index 66",an academic researcher
oa_author_janmichael_frahm,Jan‐Michael Frahm,long_tail_researcher_openalex,"an academic researcher in Robotics and Sensor-Based Localization at University of North Carolina at Chapel Hill, with approximately 16164 total citations and h-index 49",an academic researcher
oa_author_sebastian_raisch,Sebastian Raisch,long_tail_researcher_openalex,"an academic researcher in Blockchain Technology Applications and Security at University of Geneva, with approximately 12124 total citations and h-index 27",an academic researcher
oa_author_fan_yang,Fan Yang,long_tail_researcher_openalex,"an academic researcher in Video Surveillance and Tracking Methods at Temple University, with approximately 3085 total citations and h-index 12",an academic researcher
oa_author_r__urtasun,R. Urtasun,long_tail_researcher_openalex,"an academic researcher in Robotics and Sensor-Based Localization at Toyota Motor Corporation (United States), with approximately 14269 total citations and h-index 3",an academic researcher
oa_author_vimal_savsani,Vimal Savsani,long_tail_researcher_openalex,"an academic researcher in Metaheuristic Optimization Algorithms Research at Sardar Vallabhbhai National Institute of Technology Surat, with approximately 10459 total citations and h-index 32",an academic researcher
oa_author_thiago_augusto_vieira,Thiago Augusto Vieira,long_tail_researcher_openalex,"an academic researcher in Blockchain Technology Applications and Security at Massachusetts Institute of Technology, with approximately 2397 total citations and h-index 1",an academic researcher
oa_author_fabien_reyal,Fabien Reyal,long_tail_researcher_openalex,"an academic researcher in AI in cancer detection at Institut Curie, with approximately 12328 total citations and h-index 54",an academic researcher
oa_author_roozbeh_mottaghi,Roozbeh Mottaghi,long_tail_researcher_openalex,"an academic researcher in Advanced Neural Network Applications at Stanford University, with approximately 8775 total citations and h-index 31",an academic researcher
oa_author_dirk_andreas_zetzsche,Dirk Andreas Zetzsche,long_tail_researcher_openalex,"an academic researcher in Blockchain Technology Applications and Security, with approximately 4896 total citations and h-index 34",an academic researcher
oa_author_bowen_jiang,Bowen Jiang,long_tail_researcher_openalex,"an academic researcher in Visual Attention and Saliency Detection at Dalian University of Technology, with approximately 943 total citations and h-index 10",an academic researcher
oa_author_johannes_bader,Johannes Bader,long_tail_researcher_openalex,"an academic researcher in Advanced Multi-Objective Optimization Algorithms at ETH Zurich, with approximately 3923 total citations and h-index 19",an academic researcher
oa_author_jun_xie,Jun Xie,long_tail_researcher_openalex,"an academic researcher in Video Surveillance and Tracking Methods at Google (United States), with approximately 2980 total citations and h-index 24",an academic researcher
oa_author_muhammad_ali_sodik,Muhammad Ali Sodik,long_tail_researcher_openalex,"an academic researcher in Edcuational Technology Systems, with approximately 2541 total citations and h-index 11",an academic researcher
oa_author_jiabin_huang,Jia‐Bin Huang,long_tail_researcher_openalex,"an academic researcher in Video Surveillance and Tracking Methods at International University of the Caribbean, with approximately 24960 total citations and h-index 60",an academic researcher
oa_author_jian_cheng,Jian Cheng,long_tail_researcher_openalex,"an academic researcher in Human Pose and Action Recognition at Chinese Academy of Sciences, with approximately 15197 total citations and h-index 47",an academic researcher
imo_jetze_zoethout,Jetze Zoethout,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2012 representing Netherlands,a high-school mathematics competitor
imo_mikhail_grigorev,Mikhail Grigorev,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2011/2012 representing Russia,a high-school mathematics competitor
imo_mitchell_lee,Mitchell Lee,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2011/2012 representing USA,a high-school mathematics competitor
imo_vadym_kalashnykov,Vadym Kalashnykov,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2013 representing Ukraine,a high-school mathematics competitor
imo_sung_jin_park,Sung Jin Park,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2012/2013 representing Korea,a high-school mathematics competitor
imo_rom_dudkiewicz,Rom Dudkiewicz,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2011 representing Israel,a high-school mathematics competitor
imo_jialun_li,Jialun Li,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2010 representing China,a high-school mathematics competitor
imo_zipei_nie,Zipei Nie,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2010 representing China,a high-school mathematics competitor
imo_yau_wing_li,Yau Wing Li,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2011 representing Hong Kong,a high-school mathematics competitor
imo_bobby_shen,Bobby Shen,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2012/2013 representing USA,a high-school mathematics competitor
imo_melih_ucer,Melih Üçer,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2010 representing Türkiye,a high-school mathematics competitor
imo_andrea_bianchi,Andrea Bianchi,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2011 representing Italy,a high-school mathematics competitor
imo_motoki_takigiku,Motoki Takigiku,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2009 representing Japan,a high-school mathematics competitor
imo_szymon_kanonowicz,Szymon Kanonowicz,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2010 representing Poland,a high-school mathematics competitor
imo_artsiom_toyestseu,Artsiom Toyestseu,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2009 representing Belarus,a high-school mathematics competitor
imo_pedram_safaee,Pedram Safaee,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2012 representing Iran,a high-school mathematics competitor
imo_felix_drxler,Felix Dräxler,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2010 representing Austria,a high-school mathematics competitor
imo_takuma_kitamura,Takuma Kitamura,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2011 representing Japan,a high-school mathematics competitor
imo_istvan_tomon,István Tomon,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2009 representing Hungary,a high-school mathematics competitor
imo_ariel_zylber,Ariel Zylber,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2011 representing Argentina,a high-school mathematics competitor
imo_egor_voronetckii,Egor Voronetckii,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2013 representing Russia,a high-school mathematics competitor
imo_thomas_swayze,Thomas Swayze,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2012 representing USA,a high-school mathematics competitor
imo_umut_varolgunes,Umut Varolgüneş,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2009 representing Türkiye,a high-school mathematics competitor
imo_zarko_randelovi,Žarko Ranđelović,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2013 representing Serbia,a high-school mathematics competitor
imo_ravi_jagadeeshan,Ravi Jagadeeshan,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2012 representing USA,a high-school mathematics competitor
imo_lin_chen,Lin Chen,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2011 representing China,a high-school mathematics competitor
imo_kazuhiro_hosaka,Kazuhiro Hosaka,imo_gold,a gold medalist at the International Mathematical Olympiad (IMO) 2009 representing Japan,a high-school mathematics competitor
