entity_id,cohort,NR_T0,NR_T1,NR_T2,NR_T3
artifact_acme,oss_project,0.5897,0.4203,0.4257,0.4595
artifact_alphageometry_paper,research_paper,0.5378,0.3459,0.3941,0.4419
artifact_annoy,oss_project,0.8980,0.6041,0.6189,0.5973
artifact_apex,oss_project,0.4697,0.3062,0.3116,0.3514
artifact_autogen,oss_project,0.4351,0.2757,0.2757,0.2703
artifact_chinchilla_paper,research_paper,0.6872,0.4495,0.4708,0.4457
artifact_clicknp,oss_project,0.2524,0.1676,0.1595,0.1538
artifact_clip,oss_project,0.3711,0.2514,0.2757,0.2595
artifact_colbert_v2,oss_project,0.2357,0.1481,0.1473,0.1189
artifact_colbert_v2_paper,research_paper,0.6278,0.4068,0.4278,0.4595
artifact_comfyui,oss_project,0.5808,0.3446,0.3784,0.3703
artifact_cormen_algorithms_textbook,research_paper,0.4976,0.3351,0.3486,0.3378
artifact_cub,oss_project,0.4200,0.3197,0.2789,0.2868
artifact_deepseek_math_paper,research_paper,0.4527,0.3000,0.3108,0.3508
artifact_dspy_stanford,oss_project,0.6468,0.4696,0.4345,0.4730
artifact_faiss,oss_project,0.3859,0.2459,0.2595,0.2359
artifact_faiss_cpu,oss_project,0.7873,0.5514,0.5297,0.5270
artifact_fastai,oss_project,0.6524,0.4203,0.4135,0.4041
artifact_fasttext,oss_project,0.7351,0.4243,0.4649,0.4162
artifact_flax,oss_project,0.7395,0.4311,0.4373,0.4284
artifact_generative_agents_paper,research_paper,0.6789,0.4446,0.4405,0.4068
artifact_grovers_algorithm_paper,research_paper,0.5697,0.3959,0.3784,0.4016
artifact_haiku,oss_project,0.5868,0.4311,0.4135,0.3941
artifact_haystack,oss_project,0.7149,0.4568,0.4743,0.4392
artifact_inception_paper,research_paper,0.5854,0.4243,0.3941,0.4103
artifact_nltk,oss_project,0.5405,0.3184,0.2946,0.3381
artifact_numba,oss_project,0.4000,0.2946,0.2278,0.2324
artifact_onnx_runtime,oss_project,0.5027,0.3297,0.3459,0.3081
artifact_polyglot,oss_project,0.5476,0.3305,0.3595,0.3484
artifact_qwen_paper,research_paper,0.5865,0.4065,0.3946,0.3635
artifact_rag_engine,oss_project,0.0914,0.1059,0.1297,0.1684
artifact_replit,oss_project,0.3300,0.2162,0.2354,0.2295
artifact_scipy,oss_project,0.3292,0.2027,0.1973,0.2054
artifact_self_consistency,oss_project,0.3865,0.2581,0.2568,0.2684
artifact_sonnet,oss_project,0.7684,0.5541,0.5257,0.5203
artifact_t5,oss_project,0.3535,0.2311,0.2459,0.2305
artifact_tianshou_library_again,oss_project,0.6889,0.4843,0.4581,0.4670
artifact_toolformer,oss_project,0.3303,0.2030,0.2051,0.2105
artifact_universal_approximation_theorem,research_paper,0.5824,0.3973,0.3781,0.3932
artifact_whisper,oss_project,0.3370,0.2086,0.2568,0.2286
csrankings_adam_finkelstein,cs_faculty,0.5203,0.3765,0.3622,0.3824
csrankings_aljosa_smolic,cs_faculty,0.5535,0.3641,0.3654,0.3911
csrankings_amer_e__mouawad,cs_faculty,0.4278,0.3305,0.3381,0.3662
csrankings_amit_a__levy_0001,cs_faculty,0.3668,0.3057,0.2478,0.3605
csrankings_amy_ogan,cs_faculty,0.5435,0.3730,0.4032,0.3949
csrankings_carlos_areces,cs_faculty,0.5051,0.3897,0.3808,0.4035
csrankings_charles_chuan_zhang,cs_faculty,0.2435,0.2157,0.2411,0.2681
csrankings_chris_thomas_0004,cs_faculty,0.1372,0.1287,0.0803,0.1386
csrankings_christopher_piech,cs_faculty,0.5982,0.4138,0.3850,0.4016
csrankings_david_hogg_0001,cs_faculty,0.3481,0.2973,0.2897,0.3014
csrankings_gangshan_wu,cs_faculty,0.3673,0.2389,0.3081,0.2547
csrankings_haipeng_zhang_0004,cs_faculty,0.3041,0.2978,0.2746,0.2857
csrankings_hamza_keurti,cs_faculty,0.2154,0.1973,0.1322,0.2270
csrankings_hannah_kerner,cs_faculty,0.4189,0.3324,0.3205,0.3335
csrankings_hongliang_yu,cs_faculty,0.2057,0.1892,0.1632,0.2316
csrankings_ingrid_carlbom,cs_faculty,0.3008,0.2916,0.2959,0.3170
csrankings_jeff_a__bilmes,cs_faculty,0.6501,0.4165,0.4035,0.4349
csrankings_jeffrey_overbey,cs_faculty,0.4109,0.3622,0.3127,0.3138
csrankings_michael_p__kim,cs_faculty,0.3930,0.3314,0.3343,0.3115
csrankings_min_xu_0009,cs_faculty,0.2659,0.2208,0.2419,0.2319
csrankings_nisansa_de_silva,cs_faculty,0.3856,0.3270,0.2959,0.3324
csrankings_robert_b__heckendorn,cs_faculty,0.4105,0.3392,0.3630,0.3668
csrankings_seung_jun_kim_0002,cs_faculty,0.3024,0.2627,0.2405,0.3197
csrankings_siyu_tang_0001,cs_faculty,0.4189,0.3268,0.3328,0.3378
csrankings_ted_herman,cs_faculty,0.5373,0.3727,0.3554,0.3957
csrankings_teresa_a__dahlberg,cs_faculty,0.3839,0.3422,0.3543,0.3251
csrankings_travis_d__breaux,cs_faculty,0.5276,0.3276,0.3600,0.3403
csrankings_xinming_zhang_0001,cs_faculty,0.2832,0.2405,0.2389,0.3151
csrankings_yejin_choi_0001,cs_faculty,0.1355,0.0900,0.1238,0.1781
csrankings_zhigang_hu,cs_faculty,0.3700,0.3041,0.3068,0.3068
gpt5_aidan_mclaughlin,gpt5_system_card_author,0.0105,0.0692,0.0170,0.0573
gpt5_alexey_ivanov,gpt5_system_card_author,0.0011,0.0276,0.0041,0.0184
gpt5_alyssa_huang,gpt5_system_card_author,0.0130,0.0578,0.0265,0.0705
gpt5_brittany_brenner,gpt5_system_card_author,0.0054,0.0524,0.0243,0.0527
gpt5_cedric_whitney,gpt5_system_card_author,0.0695,0.0654,0.0168,0.0200
gpt5_chen_shen,gpt5_system_card_author,0.0265,0.0476,0.0214,0.0395
gpt5_christina_kaplan,gpt5_system_card_author,0.0243,0.0724,0.0281,0.0389
gpt5_daniel_wright,gpt5_system_card_author,0.0362,0.0449,0.0197,0.0668
gpt5_hanson_wang,gpt5_system_card_author,0.0373,0.0319,0.0162,0.0673
gpt5_heather_schmidt,gpt5_system_card_author,0.0024,0.0265,0.0265,0.0629
gpt5_ian_kivlichan,gpt5_system_card_author,0.1230,0.1124,0.0397,0.1362
gpt5_ilge_akkaya,gpt5_system_card_author,0.1273,0.1159,0.0986,0.1586
gpt5_jamie_kiros,gpt5_system_card_author,0.0881,0.0765,0.0459,0.1192
gpt5_jiancheng_liu,gpt5_system_card_author,0.0241,0.0551,0.0076,0.0438
gpt5_joey_flynn,gpt5_system_card_author,0.0395,0.0541,0.0122,0.0484
gpt5_joseph_mo,gpt5_system_card_author,0.0076,0.0605,0.0200,0.0995
gpt5_kristen_ying,gpt5_system_card_author,0.0395,0.0470,0.0084,0.0338
gpt5_li_jing,gpt5_system_card_author,0.0397,0.0492,0.0011,0.0576
gpt5_lindsey_held,gpt5_system_card_author,0.0616,0.0700,0.0216,0.0843
gpt5_michelle_pokrass,gpt5_system_card_author,0.0746,0.0392,0.0378,0.0632
gpt5_nicklas_ansman,gpt5_system_card_author,0.0703,0.0791,0.0254,0.0600
gpt5_shaokyi_amdo,gpt5_system_card_author,0.0146,0.0308,0.0011,0.0654
gpt5_sulman_choudhry,gpt5_system_card_author,0.0427,0.0324,0.0211,0.0535
gpt5_tao_xin,gpt5_system_card_author,0.0446,0.0486,0.0108,0.0546
gpt5_tomek_korbak,gpt5_system_card_author,0.1189,0.1146,0.0924,0.1597
gpt5_wenting_zhan,gpt5_system_card_author,0.0314,0.0678,0.0359,0.0670
gpt5_xiangning_chen,gpt5_system_card_author,0.0659,0.1300,0.0219,0.1043
gpt5_yizhong_xiong,gpt5_system_card_author,0.0216,0.0341,0.0073,0.0432
gpt5_yuanzhi_li,gpt5_system_card_author,0.1114,0.1259,0.0619,0.0903
gpt5_yushi_wang,gpt5_system_card_author,0.0463,0.0654,0.0343,0.0568
imo_alexey_pakharev,imo_gold,0.3695,0.3078,0.2751,0.2970
imo_aliaksei_semchankau,imo_gold,0.5124,0.3757,0.3051,0.3881
imo_andrea_bianchi,imo_gold,0.3295,0.2900,0.1557,0.2362
imo_bogdan_veklych,imo_gold,0.3230,0.2507,0.2246,0.2703
imo_borna_vukorepa,imo_gold,0.4270,0.3332,0.3249,0.3308
imo_bumsoo_kim,imo_gold,0.3532,0.3016,0.2492,0.3811
imo_chao_gu,imo_gold,0.3954,0.2886,0.3038,0.2686
imo_debdyuti_banerjee,imo_gold,0.3022,0.2530,0.2049,0.2559
imo_filip_borowiec,imo_gold,0.4522,0.2849,0.2351,0.2765
imo_hak_myong_mun,imo_gold,0.2795,0.2392,0.1895,0.2673
imo_hanwool_moon,imo_gold,0.3092,0.2708,0.2773,0.2814
imo_hao_wu,imo_gold,0.3632,0.2892,0.2849,0.3386
imo_haoyu_wang,imo_gold,0.3527,0.3362,0.2792,0.3489
imo_how_si_yu,imo_gold,0.2511,0.1789,0.1649,0.2011
imo_janos_nagy,imo_gold,0.2976,0.3019,0.2486,0.2589
imo_matthew_brennan,imo_gold,0.4065,0.3470,0.2946,0.3470
imo_mehmet_efe_akengin,imo_gold,0.4032,0.3162,0.3257,0.3211
imo_mikhail_grigorev,imo_gold,0.2065,0.2751,0.2603,0.3111
imo_pedram_safaee,imo_gold,0.3686,0.2481,0.3386,0.3492
imo_rom_dudkiewicz,imo_gold,0.2922,0.2378,0.1697,0.2108
imo_se_hyun_ji,imo_gold,0.2376,0.2261,0.2146,0.2486
imo_stpan_simsa,imo_gold,0.4270,0.3703,0.3092,0.3524
imo_sureyya_emre_kurt,imo_gold,0.3592,0.3197,0.2514,0.3046
imo_thnh_trung_cn_trn,imo_gold,0.2605,0.2335,0.2054,0.2792
imo_tingchun_lin,imo_gold,0.4308,0.3451,0.2832,0.3378
imo_vasily_mokin,imo_gold,0.2816,0.2538,0.2449,0.2665
imo_yikang_xiao,imo_gold,0.3992,0.2727,0.2673,0.3181
imo_yue_ding,imo_gold,0.2811,0.2424,0.2373,0.2784
imo_yutao_liu,imo_gold,0.4249,0.3086,0.2559,0.3265
imo_zhuo_qun_alex_song,imo_gold,0.5859,0.3878,0.4076,0.4086
mid_tier_filmmaker_alfonso_cuarn,mid_tier_filmmaker,0.8466,0.5059,0.5519,0.5741
mid_tier_filmmaker_bruno_dumont,mid_tier_filmmaker,0.7073,0.4659,0.4757,0.5595
mid_tier_filmmaker_carla_simn,mid_tier_filmmaker,0.8414,0.5622,0.5514,0.5865
mid_tier_filmmaker_charlie_kaufman,mid_tier_filmmaker,0.7581,0.5000,0.4838,0.5416
mid_tier_filmmaker_denis_villeneuve,mid_tier_filmmaker,0.9122,0.5811,0.5886,0.6081
mid_tier_filmmaker_ethan_coen,mid_tier_filmmaker,0.2942,0.2085,0.2373,0.2126
mid_tier_filmmaker_guillermo_del_toro,mid_tier_filmmaker,0.8449,0.5505,0.5519,0.5541
mid_tier_filmmaker_lee_isaac_chung,mid_tier_filmmaker,0.7703,0.5622,0.5392,0.5892
mid_tier_filmmaker_lucrecia_martel,mid_tier_filmmaker,0.7622,0.5459,0.5459,0.5338
mid_tier_filmmaker_pablo_larran,mid_tier_filmmaker,0.8765,0.5749,0.6054,0.5568
mid_tier_writer_alan_cheuse,mid_tier_writer,0.4111,0.2430,0.2435,0.2751
mid_tier_writer_alex_tabarrok,mid_tier_writer,0.7749,0.5649,0.5676,0.4962
mid_tier_writer_alice_brown_writer,mid_tier_writer,0.3528,0.2238,0.2581,0.2311
mid_tier_writer_atia_abawi,mid_tier_writer,0.3670,0.2108,0.1968,0.2199
mid_tier_writer_atul_gawande,mid_tier_writer,0.8916,0.5973,0.6459,0.6365
mid_tier_writer_been_down_so_long_it_looks_like_up_to_me,mid_tier_writer,0.0918,0.0201,0.0427,0.0232
mid_tier_writer_blood_on_the_forge,mid_tier_writer,0.0649,0.0255,0.0285,0.0216
mid_tier_writer_brit_bennett,mid_tier_writer,0.8595,0.5649,0.6000,0.6422
mid_tier_writer_clyde_brion_davis,mid_tier_writer,0.3169,0.2319,0.2420,0.2692
mid_tier_writer_daniel_h__pink,mid_tier_writer,0.9349,0.6257,0.6595,0.6649
mid_tier_writer_daniel_kahneman,mid_tier_writer,0.7078,0.4541,0.4746,0.5700
mid_tier_writer_darren_defrain,mid_tier_writer,0.2384,0.2068,0.1576,0.1924
mid_tier_writer_democracy_an_american_novel,mid_tier_writer,0.0724,0.0208,0.0062,0.0232
mid_tier_writer_diana_abu_jaber,mid_tier_writer,0.3097,0.1873,0.2011,0.2019
mid_tier_writer_emily_st__john_mandel,mid_tier_writer,0.8392,0.5851,0.6100,0.5797
mid_tier_writer_jenny_offill,mid_tier_writer,0.8741,0.5622,0.5824,0.6568
mid_tier_writer_jeremiah_clemens,mid_tier_writer,0.3419,0.2070,0.2428,0.2378
mid_tier_writer_jude_deveraux,mid_tier_writer,0.3603,0.1709,0.2239,0.1836
mid_tier_writer_leigh_bardugo,mid_tier_writer,0.8527,0.5878,0.5927,0.5770
mid_tier_writer_madeline_miller,mid_tier_writer,0.9216,0.5784,0.6135,0.5700
mid_tier_writer_marcia_davenport,mid_tier_writer,0.3405,0.2238,0.2176,0.2524
mid_tier_writer_martha_haines_butt,mid_tier_writer,0.2532,0.1659,0.1885,0.1966
mid_tier_writer_martha_wells,mid_tier_writer,0.8330,0.5292,0.5386,0.5092
mid_tier_writer_megha_majumdar,mid_tier_writer,0.8270,0.5362,0.5243,0.5670
mid_tier_writer_patrick_mckenzie,mid_tier_writer,0.8819,0.5619,0.6311,0.5964
mid_tier_writer_rachel_cusk,mid_tier_writer,0.7865,0.5662,0.5919,0.5797
mid_tier_writer_sarah_j__maas,mid_tier_writer,0.7941,0.4843,0.5443,0.4370
mid_tier_writer_tayari_jones,mid_tier_writer,0.8208,0.5189,0.5030,0.5268
mid_tier_writer_tyler_cowen,mid_tier_writer,0.8576,0.5466,0.5257,0.5781
mid_tier_writer_yaa_gyasi,mid_tier_writer,0.9281,0.6486,0.6378,0.6243
oa_author_alex_kendall,long_tail_researcher_openalex,0.5654,0.3522,0.3727,0.4697
oa_author_alex_wang,long_tail_researcher_openalex,0.0595,0.1784,0.0649,0.2459
oa_author_alexander_kloosterman,long_tail_researcher_openalex,0.3403,0.2500,0.2076,0.3449
oa_author_alexander_mathis,long_tail_researcher_openalex,0.5651,0.4570,0.4733,0.5468
oa_author_bradford_m__beckmann,long_tail_researcher_openalex,0.5154,0.3959,0.4700,0.5162
oa_author_bruno_a__a__nunes,long_tail_researcher_openalex,0.6014,0.4703,0.4527,0.5346
oa_author_cha_zhang,long_tail_researcher_openalex,0.5703,0.3905,0.4697,0.4797
oa_author_chia_hao_chin,long_tail_researcher_openalex,0.2692,0.2614,0.2505,0.5324
oa_author_david_cox,long_tail_researcher_openalex,0.4423,0.3162,0.3003,0.3505
oa_author_gabriele_paolacci,long_tail_researcher_openalex,0.5743,0.4392,0.4730,0.5143
oa_author_h__wina_sanjaya,long_tail_researcher_openalex,0.2654,0.3435,0.2757,0.3989
oa_author_hans_j__jansen,long_tail_researcher_openalex,0.2611,0.3635,0.2981,0.4054
oa_author_henrik_kretzschmar,long_tail_researcher_openalex,0.3565,0.2622,0.2711,0.3643
oa_author_ian_bruno,long_tail_researcher_openalex,0.5024,0.3889,0.4162,0.4995
oa_author_jian_cheng,long_tail_researcher_openalex,0.5527,0.3649,0.4068,0.5014
oa_author_mattan_s__benshachar,long_tail_researcher_openalex,0.5800,0.4081,0.4422,0.5008
oa_author_matthias_feurer,long_tail_researcher_openalex,0.7230,0.5108,0.4819,0.5638
oa_author_peng_chen,long_tail_researcher_openalex,0.4865,0.3865,0.2995,0.4500
oa_author_rob_tibshirani,long_tail_researcher_openalex,0.4249,0.2565,0.2668,0.3495
oa_author_s__m__ali_eslami,long_tail_researcher_openalex,0.4262,0.3641,0.3141,0.4611
oa_author_shotaro_sano,long_tail_researcher_openalex,0.3919,0.3365,0.2232,0.4208
oa_author_slimane_ben_miled,long_tail_researcher_openalex,0.4424,0.2705,0.2919,0.5581
oa_author_tobias_j__osborne,long_tail_researcher_openalex,0.6995,0.4743,0.4689,0.5068
oa_author_ueli_meier,long_tail_researcher_openalex,0.4422,0.3608,0.2654,0.4992
oa_author_wenguan_wang,long_tail_researcher_openalex,0.6492,0.4624,0.4595,0.5003
oa_author_xinchen_yan,long_tail_researcher_openalex,0.5927,0.4497,0.3486,0.5197
oa_author_ye_yuan,long_tail_researcher_openalex,0.2860,0.2865,0.2259,0.3608
oa_author_zhaohui_yang,long_tail_researcher_openalex,0.5081,0.3211,0.2865,0.4162
oa_author_zhi_zhang,long_tail_researcher_openalex,0.4000,0.3530,0.2741,0.4041
oa_author_zhiguang_wang,long_tail_researcher_openalex,0.4516,0.3719,0.3835,0.4489
